number,value,state,datetime_start,datetime_complete,params,user_attrs,param_max_depth,param_eta,param_subsample,param_colsample_bytree,param_lambda,param_alpha,param_min_child_weight
126,1.7109779357910155,1,2025-10-25 11:55:35.108296,2025-10-25 11:55:37.455664,"{'max_depth': 5, 'eta': 0.006110111795727365, 'subsample': 0.9811760515511843, 'colsample_bytree': 0.5607311121345745, 'lambda': 0.0023561627077877127, 'alpha': 0.40412233763671634, 'min_child_weight': 1}",{'avg_rmse': 1.7109779357910155},5,0.006110111795727365,0.9811760515511843,0.5607311121345745,0.0023561627077877127,0.40412233763671634,1
127,1.7113647222518922,1,2025-10-25 11:55:37.455980,2025-10-25 11:55:39.853013,"{'max_depth': 5, 'eta': 0.006155145913461301, 'subsample': 0.9954486254956387, 'colsample_bytree': 0.5608005905319327, 'lambda': 0.002451650412759376, 'alpha': 0.4429247619950195, 'min_child_weight': 1}",{'avg_rmse': 1.7113647222518922},5,0.006155145913461301,0.9954486254956387,0.5608005905319327,0.002451650412759376,0.4429247619950195,1
128,1.7230266809463501,1,2025-10-25 11:55:39.853257,2025-10-25 11:55:41.215278,"{'max_depth': 5, 'eta': 0.00952750357151613, 'subsample': 0.9760402638487057, 'colsample_bytree': 0.5432619883418379, 'lambda': 0.0034175291811276713, 'alpha': 0.06401948995892165, 'min_child_weight': 1}",{'avg_rmse': 1.7230266809463501},5,0.00952750357151613,0.9760402638487057,0.5432619883418379,0.0034175291811276713,0.06401948995892165,1
129,1.7082560062408447,1,2025-10-25 11:55:41.215590,2025-10-25 11:55:42.905559,"{'max_depth': 5, 'eta': 0.008043018349771688, 'subsample': 0.9954889179366422, 'colsample_bytree': 0.589722367429362, 'lambda': 0.002355684416690122, 'alpha': 0.5270860529040863, 'min_child_weight': 1}",{'avg_rmse': 1.7082560062408447},5,0.008043018349771688,0.9954889179366422,0.589722367429362,0.002355684416690122,0.5270860529040863,1
130,1.8231752157211303,1,2025-10-25 11:55:42.905802,2025-10-25 11:55:44.713085,"{'max_depth': 5, 'eta': 0.006234382222165219, 'subsample': 0.9903450964840862, 'colsample_bytree': 0.5664739307874574, 'lambda': 0.00666899106809975, 'alpha': 0.4817213578007419, 'min_child_weight': 3}",{'avg_rmse': 1.8231752157211303},5,0.006234382222165219,0.9903450964840862,0.5664739307874574,0.00666899106809975,0.4817213578007419,3
131,1.713822841644287,1,2025-10-25 11:55:44.713368,2025-10-25 11:55:46.758218,"{'max_depth': 5, 'eta': 0.00753521692154227, 'subsample': 0.9913991434505721, 'colsample_bytree': 0.5902104008550144, 'lambda': 0.0024373700998297047, 'alpha': 0.7228110170332118, 'min_child_weight': 1}",{'avg_rmse': 1.713822841644287},5,0.00753521692154227,0.9913991434505721,0.5902104008550144,0.0024373700998297047,0.7228110170332118,1
132,1.7300259351730347,1,2025-10-25 11:55:46.758494,2025-10-25 11:55:49.275053,"{'max_depth': 5, 'eta': 0.006633736753223768, 'subsample': 0.9936183664523047, 'colsample_bytree': 0.5760675627817521, 'lambda': 1.0914254738706823e-06, 'alpha': 0.7587212101542433, 'min_child_weight': 2}",{'avg_rmse': 1.7300259351730347},5,0.006633736753223768,0.9936183664523047,0.5760675627817521,1.0914254738706823e-06,0.7587212101542433,2
133,1.711296796798706,1,2025-10-25 11:55:49.275317,2025-10-25 11:55:51.550277,"{'max_depth': 5, 'eta': 0.007880221271703942, 'subsample': 0.9817606561285654, 'colsample_bytree': 0.5880104573387341, 'lambda': 2.4068037332656027e-06, 'alpha': 0.35794028090814156, 'min_child_weight': 1}",{'avg_rmse': 1.711296796798706},5,0.007880221271703942,0.9817606561285654,0.5880104573387341,2.4068037332656027e-06,0.35794028090814156,1
134,1.702246069908142,1,2025-10-25 11:55:51.551147,2025-10-25 11:55:53.445326,"{'max_depth': 5, 'eta': 0.007745575156235595, 'subsample': 0.9792857549090094, 'colsample_bytree': 0.5908488911471348, 'lambda': 0.002240574205634297, 'alpha': 0.3393479199461301, 'min_child_weight': 1}",{'avg_rmse': 1.702246069908142},5,0.007745575156235595,0.9792857549090094,0.5908488911471348,0.002240574205634297,0.3393479199461301,1
135,1.7265772104263306,1,2025-10-25 11:55:53.445584,2025-10-25 11:55:55.190641,"{'max_depth': 5, 'eta': 0.0076858248359951515, 'subsample': 0.9820981683405536, 'colsample_bytree': 0.5949895661547879, 'lambda': 0.0023387739872676983, 'alpha': 0.3679637999344392, 'min_child_weight': 2}",{'avg_rmse': 1.7265772104263306},5,0.0076858248359951515,0.9820981683405536,0.5949895661547879,0.0023387739872676983,0.3679637999344392,2
136,1.723297119140625,1,2025-10-25 11:55:55.190845,2025-10-25 11:55:56.174990,"{'max_depth': 5, 'eta': 0.011126870719124061, 'subsample': 0.9607785600225439, 'colsample_bytree': 0.5858013078648189, 'lambda': 2.247717092572801e-06, 'alpha': 1.0929113539037523, 'min_child_weight': 1}",{'avg_rmse': 1.723297119140625},5,0.011126870719124061,0.9607785600225439,0.5858013078648189,2.247717092572801e-06,1.0929113539037523,1
137,1.7529499769210815,1,2025-10-25 11:55:56.175194,2025-10-25 11:55:57.747580,"{'max_depth': 5, 'eta': 0.0045596894827204856, 'subsample': 0.9997434394947959, 'colsample_bytree': 0.5362991893836179, 'lambda': 2.780432758314449e-06, 'alpha': 0.6173472338058662, 'min_child_weight': 2}",{'avg_rmse': 1.7529499769210815},5,0.0045596894827204856,0.9997434394947959,0.5362991893836179,2.780432758314449e-06,0.6173472338058662,2
138,1.707458209991455,1,2025-10-25 11:55:57.747823,2025-10-25 11:55:58.921592,"{'max_depth': 5, 'eta': 0.009455431399913327, 'subsample': 0.9731101784868821, 'colsample_bytree': 0.6051297623640962, 'lambda': 2.885294918530704e-05, 'alpha': 0.3269225846578798, 'min_child_weight': 1}",{'avg_rmse': 1.707458209991455},5,0.009455431399913327,0.9731101784868821,0.6051297623640962,2.885294918530704e-05,0.3269225846578798,1
139,1.6978260040283204,1,2025-10-25 11:55:58.921843,2025-10-25 11:56:00.274580,"{'max_depth': 5, 'eta': 0.009792940650291754, 'subsample': 0.9743577289018238, 'colsample_bytree': 0.5009144036193812, 'lambda': 3.928212340881962e-05, 'alpha': 0.3165779804844845, 'min_child_weight': 1}",{'avg_rmse': 1.6978260040283204},5,0.009792940650291754,0.9743577289018238,0.5009144036193812,3.928212340881962e-05,0.3165779804844845,1
140,1.7746848821640016,1,2025-10-25 11:56:00.274816,2025-10-25 11:56:02.194845,"{'max_depth': 11, 'eta': 0.009365587352399816, 'subsample': 0.9752149683439144, 'colsample_bytree': 0.512030677830454, 'lambda': 1.615546224086529e-05, 'alpha': 0.3109133481395366, 'min_child_weight': 1}",{'avg_rmse': 1.7746848821640016},11,0.009365587352399816,0.9752149683439144,0.512030677830454,1.615546224086529e-05,0.3109133481395366,1
141,1.7108897924423219,1,2025-10-25 11:56:02.195121,2025-10-25 11:56:03.580750,"{'max_depth': 5, 'eta': 0.007964498560325236, 'subsample': 0.9819102278366736, 'colsample_bytree': 0.5602837525331431, 'lambda': 3.2443266217045384e-05, 'alpha': 0.14480055144005372, 'min_child_weight': 1}",{'avg_rmse': 1.7108897924423219},5,0.007964498560325236,0.9819102278366736,0.5602837525331431,3.2443266217045384e-05,0.14480055144005372,1
142,1.703723669052124,1,2025-10-25 11:56:03.580964,2025-10-25 11:56:05.050238,"{'max_depth': 5, 'eta': 0.008022232795712738, 'subsample': 0.9820056645840697, 'colsample_bytree': 0.5675204497255261, 'lambda': 2.451562789099545e-05, 'alpha': 0.18294772402841455, 'min_child_weight': 1}",{'avg_rmse': 1.703723669052124},5,0.008022232795712738,0.9820056645840697,0.5675204497255261,2.451562789099545e-05,0.18294772402841455,1
